date,source,site_id,poc,daily_mean_pm10_conentration,units,daily_aqi_value,site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_desc,cbsa_code,cbsa_name,state_code,state,county_code,county,site_latitude,site_longitude
2020-01-01,AQS,60070008,3,27,ug/m3 SC,25,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-02,AQS,60070008,3,22,ug/m3 SC,20,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-03,AQS,60070008,3,30,ug/m3 SC,28,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-04,AQS,60070008,3,17,ug/m3 SC,16,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-05,AQS,60070008,3,18,ug/m3 SC,17,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-06,AQS,60070008,3,13,ug/m3 SC,12,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-07,AQS,60070008,3,26,ug/m3 SC,24,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-08,AQS,60070008,3,24,ug/m3 SC,22,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-09,AQS,60070008,3,9,ug/m3 SC,8,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-01-10,AQS,60070008,3,13,ug/m3 SC,12,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
